name,linkedin,domain,website,total_emails,generic_emails,personal_emails,executive_emails,executive_emails_department,phone_number,address
1788 Capital S.A.,https://www.linkedin.com/company/1788-capital,www.1788capital.com,https://www.1788capital.com/,1,0,1,1,0,+41 22 317 40 50,"Rue du Rhône 114, 1204 Genève, Switzerland"
3T Family Office SA,False,www.3tfamilyoffice.com,http://www.3tfamilyoffice.com/,1,0,1,1,1,+41 22 732 11 33,"Rue du Conseil-Général 16, 1205 Genève, Switzerland"
A&T Alpha Credit SA,https://ch.linkedin.com/company/a-t-alpha-credit-sa,alpha-credit.ch,http://alpha-credit.ch/,3,1,2,1,2,+41 22 519 12 50,"Quai des Forces-Motrices 14, 1204 Genève, Switzerland"
Abeloo SA,False,abeloo.swiss,https://abeloo.swiss/,3,1,2,0,1,+41 22 700 92 92,"Rue François-Versonnex 7, 1207 Genève, Switzerland"
ACCURATE WEALTH MANAGEMENT SA,https://www.linkedin.com/company/accuratewealthmanagement,www.accuratewealth.ch,https://www.accuratewealth.ch/,False,False,False,False,False,False,"Quai de l'Ile 15, 1204 Genève, Switzerland"
ADDVISION WEALTH MANAGEMENT SA,False,www.addvisionpartners.com,https://www.addvisionpartners.com/?utm_source=gmb&utm_medium=organic&utm_campaign=website,1,0,1,1,1,False,False
ALAF Capital SA,https://ch.linkedin.com/company/alaf-capital-sa,www.alafcapital.com,https://www.alafcapital.com/,1,0,1,1,1,+41 22 566 88 84,"Quai des Bergues 23, 1201 Genève, Switzerland"
Alliance Partners SA,https://www.linkedin.com/company/alliance-partners-sa/,alliance-partners.ch,https://alliance-partners.ch/,False,False,False,False,False,+41 22 715 00 70,"Rue Verdaine 11, 1204 Genève, Switzerland"
Almada Capital Sàrl,False,almadacap.com,https://almadacap.com/,1,1,0,0,0,+41 22 310 16 18,"Rue Jean-Petitot 2, 1204 Genève, Switzerland"
AlphaMatrix Finance SA,False,www.alphamatrix.ch,http://www.alphamatrix.ch/,1,0,1,0,0,+41 22 552 58 40,"Rue de la Croix-d'Or 17A, 1204 Genève, Switzerland"
ALTOR CAPITAL MANAGEMENT SA,https://ch.linkedin.com/company/altor-capital-management,www.altor-capital.com,https://www.altor-capital.com/,1,1,0,0,0,+41 22 310 58 55,"Rue du Rhône 57, 1204 Genève, Switzerland"
Amity Partners Sàrl,https://www.linkedin.com/company/amity-partners-sarl,yellow.local.ch,https://yellow.local.ch/d/V_xYrRmB_K9mB3rMFW90hA,False,False,False,False,False,+41 22 735 49 80,"Rue du Rhône 118/4th floor, 1204 Genève, Switzerland"
APIFINANCE SA,False,www.apifinance.ch,http://www.apifinance.ch/,False,False,False,False,False,False,"Rue des Pierres-du-Niton 17, 1207 Genève, Switzerland"
Apricus Finance SA,https://www.linkedin.com/company/apricus-finance,www.apricusfinance.com,http://www.apricusfinance.com/,1,1,0,0,0,+41 22 317 88 40,"Rue du Rhône 30, 1204 Genève, Switzerland"
ARCORA GESTION SA,https://ch.linkedin.com/company/arcora-gestion-sa,www.arcora.ch,https://www.arcora.ch/,1,1,0,0,0,+41 22 321 60 15,"Bd des Philosophes 8, 1205 Genève, Switzerland"
Arcus Finance SA,https://ch.linkedin.com/company/arcus-finance-sa,arcus-fin.ch,http://arcus-fin.ch/,2,1,1,0,0,+41 22 909 82 22,"Rue Ferdinand-Hodler 23, 1207 Genève, Switzerland"
Asset Street SA,https://ch.linkedin.com/company/asset-street-sa,www.asset-street.com,http://www.asset-street.com/,False,False,False,False,False,+41 22 736 00 28,"Rue du Rhône 67, 1207 Genève, Switzerland"
ATLANTIC GESTION SA,False,www.atlanticgestion.com,http://www.atlanticgestion.com/,1,1,0,0,0,False,"Rue des Pierres-du-Niton 17, 1207 Genève, Switzerland"
Atlantis Marcuard SA,False,atlantismarcuard.com,http://atlantismarcuard.com/,3,1,2,1,1,+41 22 552 38 00,"Rue du Mont-Blanc 4, 1201 Genève, Switzerland"
Auris Wealth Management SA,https://www.linkedin.com/company/auris-wealth-management-s-a-,www.auriswm.ch,http://www.auriswm.ch/,13,0,13,3,4,False,"Bd des Philosophes 15, 1205 Genève, Switzerland"
Authentic Capital SA,https://ch.linkedin.com/in/thierry-loney-60895634,authentic-capital.com,http://authentic-capital.com/,1,1,0,0,0,+41 22 322 56 40,"Bd Georges-Favon 8, 1204 Genève, Switzerland"
AV Management SA,False,yellow.local.ch,https://yellow.local.ch/d/6DJeqMVFLupF460tFqPJEw,False,False,False,False,False,+41 22 310 58 00,"Rue Claudine-Levet 7, 1201 Genève, Switzerland"
AWARE Investments (Switzerland) SA,False,www.awareswiss.com,https://www.awareswiss.com/,1,1,0,0,0,+41 22 869 15 22,"Rue Pierre-Fatio 15, 1204 Genève, Switzerland"
Axia Management SA,False,www.axiamgmt.com,http://www.axiamgmt.com/index.php?id=about-us,False,False,False,False,False,+41 22 525 22 04,"Rue de Lausanne 72, 1202 Genève, Switzerland"
AZURA SUISSE SA,False,www.azura.com,https://www.azura.com/#banner,16,4,12,7,5,False,False
BCT Bastion Capital & Trust SA,False,bctbastion.com,http://bctbastion.com/,1,1,0,0,0,+41 22 740 10 00,"Cours des Bastions 5, 1205 Genève, Switzerland"
CAPITAL STRATEGY SA,False,yellow.local.ch,https://yellow.local.ch/d/UEpyRAOBQDd1M2JoguZRFQ,False,False,False,False,False,+41 22 819 40 70,"Rue du Général-Dufour 12, 1204 Genève, Switzerland"
Capital Vision Wealth Management SA,https://www.linkedin.com/company/capitalvision/,www.capitalvision.ch,http://www.capitalvision.ch/,9,1,8,2,3,False,"Rue du Rhône 59, 1204 Genève, Switzerland"
CdR Capital SA,False,cdr-capital.com,https://cdr-capital.com/,9,2,7,3,6,+41 22 317 80 90,"Cr de Rive 6, 1204 Genève, Switzerland"
CEFISA Associés SA,False,cefisa.ch,http://cefisa.ch/accueil/,1,1,0,0,0,+41 22 594 36 00,"Rue Michel-Chauvet 11, 1208 Genève, Switzerland"
CFG - Compagnie Financière Genevoise 1855 SA,False,www.cfg1855.com,http://www.cfg1855.com/,2,1,1,0,0,False,"Pl. de l'Université 5, 1205 Genève, Switzerland"
CIGP COMPAGNIE D'INVESTISSEMENTS ET DE GESTION PRIVEE SA,False,www.cigp.com,http://www.cigp.com/,32,4,28,1,2,+41 22 310 48 77,"Rue Maurice 3, 1204 Genève, Switzerland"
CISA Trust Company (Switzerland) SA,https://www.linkedin.com/company/cisa-trust,www.cisatrust.com,http://www.cisatrust.com/,6,1,5,2,2,+41 22 734 55 50,"Rue du Rhône 65, 1204 Genève, Switzerland"
CJC ADVISORS SA,https://www.linkedin.com/company/cjc-advisors-sa,www.cjcadvisors.ch,http://www.cjcadvisors.ch/,2,0,2,1,1,+41 22 318 00 00,"Rue du Rhône 30, 1204 Genève, Switzerland"
Clarity Partners SA,False,www.claritypartners.swiss,https://www.claritypartners.swiss/,False,False,False,False,False,+41 58 501 30 00,"Rue Saint-Léger 8, 1205 Genève, Switzerland"
Convergence SA,https://ch.linkedin.com/company/convergence-sa,www.convergence-sa.com,http://www.convergence-sa.com/,False,False,False,False,False,+41 22 817 11 71,"Rue Saint-Léger 8, 1205 Genève, Switzerland"
Criptonite Asset Management SA,https://uk.linkedin.com/company/criptonite-asset-management?trk=public_profile_experience-item_profile-section-card_subtitle-click,www.criptoniteam.com,https://www.criptoniteam.com/,4,1,3,2,2,+41 22 310 52 81,"Rue de la Corraterie 19, 1204 Genève, Switzerland"
Dixcart Trustees (Switzerland) SA,False,www.dixcart.com,https://www.dixcart.com/dixcart-offices/dixcart-swiss-ofice/,64,25,39,2,4,+41 22 518 00 01,"Rue du Port 3, 1204 Genève, Switzerland"
Dôme Capital Partners SA,False,www.dome-capital.com,http://www.dome-capital.com/,1,1,0,0,0,+41 22 436 37 00,"Bd du Théâtre 12, 1204 Genève, Switzerland"
Doral Financial Advisors Sàrl,False,www.doral-financial-advisors.ch,https://www.doral-financial-advisors.ch/,False,False,False,False,False,False,"Bd James-Fazy 13, 1201 Genève, Switzerland"
ELYSTONE CAPITAL SA,https://www.linkedin.com/company/elystone-capital-s-a-,www.elystonecapital.com,http://www.elystonecapital.com/,False,False,False,False,False,+41 22 707 67 07,"Quai Gustave-Ador 30, 1207 Genève, Switzerland"
Equus Portfolio Management SA,https://ch.linkedin.com/in/thierry-racine-714726107,www.equuspm.ch,http://www.equuspm.ch/,1,1,0,0,0,+41 22 707 82 22,"Bd Helvétique 36, 1207 Genève, Switzerland"
EUROCAPITAL advisors (Switzerland) SA,False,eurocapital-advisors.ch,http://eurocapital-advisors.ch/company/,1,1,0,0,0,+41 22 781 08 00,"Place des Bergues 1, 1201 Geneva, Switzerland"
FINSIGHT SA,False,finsight.ch,http://finsight.ch/,1,1,0,0,0,+41 22 552 52 20,"Quai du Mont-Blanc 27, 1201 Genève, Switzerland"
FLORNOY & Associés Gestion Genève SA,False,www.flornoy.ch,https://www.flornoy.ch/,False,False,False,False,False,+41 22 855 99 22,"Rue du Rhône 116, 1204 Genève, Switzerland"
Genève Invest Sàrl,https://ch.linkedin.com/in/helge-m%C3%BCller-9648363,www.geneveinvest.ch,http://www.geneveinvest.ch/,1,1,0,0,0,+41 22 716 43 55,"Pl. Ruth-Bösiger 6, 1201 Genève, Switzerland"
GESTRUST SA,https://www.linkedin.com/company/gestrust-sa,www.gestrust.ch,http://www.gestrust.ch/,2,2,0,0,0,+41 22 731 57 70,"Rue du Mont-Blanc 7, 1201 Genève, Switzerland"
GIS Advisers SA,False,www.gis-advisers.com,https://www.gis-advisers.com/,False,False,False,False,False,+41 22 552 25 65,"Rue du Général-Dufour 11, 1204 Genève, Switzerland"
Gutzwiller SA Genève,False,www.gutzwiller.ch,https://www.gutzwiller.ch/fr/geneva_f/,9,3,6,4,2,+41 22 908 03 33,"Rue de la Confédération 7, 1204 Genève, Switzerland"
GVAdvisors SA,https://ch.linkedin.com/company/gvadvisors,www.gvadvisors.ch,http://www.gvadvisors.ch/,1,1,0,0,0,+41 22 310 70 60,"Rue de la Croix-d'Or 19A, 1204 Genève, Switzerland"
HCP Asset Management SA,https://www.linkedin.com/company/hcp-asset-management/,www.hcp.ch,http://www.hcp.ch/,7,2,5,0,0,False,"Rue de la Croix-d'Or 19a, 1204 Genève, Switzerland"
Hyposwiss Advisors SA,https://ch.linkedin.com/in/paulodealmeida-gva,www.hyposwissadvisors.ch,http://www.hyposwissadvisors.ch/,False,False,False,False,False,+41 22 310 76 40,"Rue Bovy-Lysberg 10, 1204 Genève, Switzerland"
Investivity SA,https://ch.linkedin.com/company/investivity,www.investivity.com,http://www.investivity.com/,3,1,2,0,0,+41 22 310 69 51,"Pl. de Saint-Gervais 1, 1201 Genève, Switzerland"
JAR (Switzerland) SA,https://www.linkedin.com/company/jar-geneva-sa,jarcapital.swiss,https://jarcapital.swiss/,9,3,6,4,4,+41 22 900 10 71,"Rue du Rhône 14, 1204 Genève, Switzerland"
Kahn & Cie Financial Experts SA,False,www.kcfe.com,http://www.kcfe.com/,3,1,2,0,0,+41 22 839 44 44,"Rue du Rhône 114, 1204 Genève, Switzerland"
Kessler Gestion SA,False,kesslergestion.ch,https://kesslergestion.ch/,1,0,1,0,0,+41 22 311 53 20,"Pl. de Longemalle 19, 1204 Genève, Switzerland"
Key Family Partners SA,https://ch.linkedin.com/company/key-family-partners,www.keyfamilypartners.com,https://www.keyfamilypartners.com/,2,0,2,0,0,+41 22 339 00 00,"Rue François-Bonivard 6, 1201 Genève, Switzerland"
"Lobnek Wealth Management Inc., Delaware, succursale de Genève",https://www.linkedin.com/company/lobnek-wealth-management,www.lobnek.com,https://www.lobnek.com/,5,1,4,2,2,+41 22 718 90 20,"Rue de la Confédération 7, 1204 Genève, Switzerland"
Lobnek Wealth Management SA,https://www.linkedin.com/company/lobnek-wealth-management,www.lobnek.com,https://www.lobnek.com/,5,1,4,2,2,+41 22 718 90 20,"Rue de la Confédération 7, 1204 Genève, Switzerland"
Lyra Financial Wealth SA,https://ch.linkedin.com/company/lyra-wm-sa,lyrafw.ch,https://lyrafw.ch/,2,1,1,0,0,+41 22 789 27 27,"Rue Rodolphe-Toepffer 15, 1206 Genève, Switzerland"
M.F.A. Finance SA,False,www.mfa-finance.ch,https://www.mfa-finance.ch/,1,1,0,0,0,+41 22 322 80 70,"Rue Saint-Ours 4, 1205 Genève, Switzerland"
Magnolia Private Office S.A.,https://ch.linkedin.com/company/magnolia-private-office,www.magnoliaprivateoffice.com,http://www.magnoliaprivateoffice.com/,2,0,2,0,1,+41 22 715 46 46,"Quai des Bergues 29, 1201 Genève, Switzerland"
MILLENIUM CONSEILS ET PLACEMENTS SA,https://www.linkedin.com/company/millenium-conseils-et-placements-sa,www.millenium-conseil.ch,https://www.millenium-conseil.ch/,False,False,False,False,False,+41 22 319 69 90,"Grand-Rue 23, 1204 Genève, Switzerland"
Mt Fort Advisers SA,https://ch.linkedin.com/company/mt-fort-advisers,mtfortadvisers.com,https://mtfortadvisers.com/,7,1,6,1,2,+41 22 568 10 01,"Rue de la Cité 1, 1204 Genève, Switzerland"
NeoCapital SA,https://www.linkedin.com/company/neo-capital-switzerland,www.neo-capital.ch,http://www.neo-capital.ch/,False,False,False,False,False,+41 22 312 26 26,"Rue Verdaine 18, 1204 Genève, Switzerland"
Nevastar Finance (Switzerland) SA,False,www.nevastar.com,http://www.nevastar.com/,11,0,11,6,4,+41 22 817 80 00,"Bd Helvétique 31, 1207 Genève, Switzerland"
NewOak SA,https://www.linkedin.com/company/newoak-sa/,newoak.ch,http://newoak.ch/,4,1,3,2,3,+41 22 577 07 77,"Bd Georges-Favon 28, 1204 Genève, Switzerland"
NextGen Capital SA,https://ch.linkedin.com/company/nextgen-capital-sa,nextgen-capital.com,https://nextgen-capital.com/,2,1,1,1,1,+41 22 575 31 75,"Rue De-Candolle 24, 1205 Genève, Switzerland"
NIGHTINGALE TRUSTEES SA,https://www.linkedin.com/company/nightingale-trustees-sa,www.nightingaletrustees.ch,http://www.nightingaletrustees.ch/,2,1,1,0,1,+41 22 736 48 33,"Rue Kléberg 14, 1201 Genève, Switzerland"
Nomad Partners SA,https://www.linkedin.com/company/nomad-partners-sa,www.nomad-partners.com,http://www.nomad-partners.com/,2,0,2,1,1,+41 22 322 02 02,"Rue du Rhône 78, 1204 Genève, Switzerland"
Octogone Gestion Sàrl,https://www.linkedin.com/company/octogonegroup,www.octogone.ch,http://www.octogone.ch/,1,1,0,0,0,+41 22 320 32 32,"Rue De-Candolle 26, 1205 Genève, Switzerland"
OMEGA WEALTH MANAGEMENT SA,https://ch.linkedin.com/company/omega-wm,omega-wm.com,https://omega-wm.com/,False,False,False,False,False,+41 22 884 33 93,"Rue du Rhône 42, 1204 Genève, Switzerland"
Onyx et Cie SA,https://ch.linkedin.com/company/onyx-&-cie-sa,www.onyx-cie.ch,http://www.onyx-cie.ch/,3,1,2,1,1,+41 22 906 85 03,"Rue des Alpes 7, 1201 Genève, Switzerland"
Ovan Capital SA,False,www.ovan-capital.ch,https://www.ovan-capital.ch/,1,1,0,0,0,+41 22 310 76 50,"Rue François-Bonivard 10, 1201 Genève, Switzerland"
Palms Family Office Suisse SA,False,www.palms-familyoffice.com,http://www.palms-familyoffice.com/,1,0,1,1,1,+41 22 318 43 83,"Bd Helvétique 15, 1207 Genève, Switzerland"
PARfinance SA,https://www.linkedin.com/company/parfinance-sa,parfinance.ch,https://parfinance.ch/en,False,False,False,False,False,+41 22 989 55 55,"Grand-Rue 11, 1204 Genève, Switzerland"
Perennium SA,https://www.linkedin.com/company/perennium-sa,www.perennium.com,http://www.perennium.com/,1,1,0,0,0,False,"Rue Charles-Bonnet 4, 1206 Genève, Switzerland"
Platinum Swiss Partners SA,https://www.linkedin.com/company/platinum-swiss-partners-sa,platinumswisspartners.ch,https://platinumswisspartners.ch/,4,2,2,1,0,+41 22 318 77 00,"Rue du Marché 20, 1204 Genève, Switzerland"
Plutus Investments SA,False,plutusinvestments.ch,https://plutusinvestments.ch/,1,0,1,0,0,+41 22 718 33 30,"Rue du Rhône 118, 1204 Genève, Switzerland"
Pomery Capital SA,https://ch.linkedin.com/company/pomery-capital,www.pomerycapital.ch,http://www.pomerycapital.ch/,4,2,2,0,0,+41 22 732 61 05,"Rue de la Tour-de-l'Ile 1, 1204 Genève, Switzerland"
PraxisIFM Trustees SA,https://www.linkedin.com/company/praxisifm,praxisgroup.com,http://praxisgroup.com/,150,23,127,23,13,+41 22 566 65 00,"2 Rue de Jargonnant Genève, 1207 Switzerland"
Premium Assets SA,https://www.linkedin.com/company/premium-assets-sa,www.premium-assets.ch,http://www.premium-assets.ch/,2,0,2,0,0,+41 22 810 81 00,"Quai Gustave-Ador 30, 1207 Genève, Switzerland"
Priban SA,False,priban.ch,http://priban.ch/,False,False,False,False,False,+41 22 879 88 30,"Rue des Granges 5, 1204 Genève, Switzerland"
Prime Partners SA,https://www.linkedin.com/company/prime-partners-sa,www.prime-partners.com,https://www.prime-partners.com/,17,0,17,2,5,+41 22 787 06 80,"Rue des Alpes 15, 1201 Genève, Switzerland"
PrimeGate SA,False,www.primegatesa.com,https://www.primegatesa.com/,False,False,False,False,False,False,False
RAM Capital SA,https://ch.linkedin.com/company/ram-capital-sa,www.ramcapital.ch,http://www.ramcapital.ch/,1,1,0,0,0,+41 22 849 83 00,"Rue François-Versonnex 11, 1207 Genève, Switzerland"
Renalco SA,https://www.linkedin.com/company/renalco/,renalco.ch,https://renalco.ch/,2,1,1,1,1,+41 22 321 17 00,"Rue du Général-Dufour 15, 1204 Genève, Switzerland"
RJ Management SA,https://ch.linkedin.com/in/gabriela-pasqualini-24ab871a1,www.rjmanagement.ch,http://www.rjmanagement.ch/,5,1,4,2,3,+41 22 888 00 50,"Cr de Rive 5, 1204 Genève, Switzerland"
RUBICON ASSET MANAGEMENT SA,https://ch.linkedin.com/company/rubicon-asset-management-sa,rubicon-am.com,https://rubicon-am.com/,False,False,False,False,False,+41 22 808 09 30,"Rue du Général-Dufour 15, 1204 Genève, Switzerland"
Saffery Trust (Suisse) SA,False,www.saffery.com,https://www.saffery.com/international/jurisdictions/switzerland/,328,8,320,13,61,+41 22 319 09 70,"Rue de la Confédération 5, 1204 Genève, Switzerland"
SAGEFOR Société Anonyme de Gérance de Fortunes,https://www.linkedin.com/company/sagefor-suisse/,www.sagefor.ch,http://www.sagefor.ch/fr/Nous-trouver.htm,False,False,False,False,False,+41 22 329 52 06,"Rue François-Bellot 5, 1206 Genève, Switzerland"
Segetia Wealth Management SA,https://sh.linkedin.com/company/segetia-wealth-management-sa,segetia.com,https://segetia.com/,1,1,0,0,0,+41 22 816 00 50,"Rue du Rhône 23, 1204 Genève, Switzerland"
SEPT FINANCE SA,https://ch.linkedin.com/in/claudio-caruso-a54a9b36,septfinance.ch,http://septfinance.ch/,31,2,29,2,3,+41 22 748 77 77,"Rue Albert-Gos 3, 1206 Genève, Switzerland"
"SFB, Société Financière des Bastions SA",False,sfdb.ch,https://sfdb.ch/,2,1,1,0,1,+41 22 704 08 80,"Chem. Doctoresse-Champendal 4, 1206 Genève, Switzerland"
Shard Capital Advisors SA,https://eg.linkedin.com/company/shard-capital-advisors?trk=public_profile_experience-item_profile-section-card_image-click,shardcapitaladvisors.com,https://shardcapitaladvisors.com/,3,1,2,1,1,False,"Rue du Marché 3, 1204 Genève, Switzerland"
Société de gestion M&R SA,https://www.linkedin.com/company/sg-mr,www.sg-mr.com,http://www.sg-mr.com/,3,0,3,2,2,+41 22 819 60 10,"Pl. de Longemalle 1, 1204 Genève, Switzerland"
SOGELAC SA,https://www.linkedin.com/company/sogelac-sa,www.sogelac.ch,http://www.sogelac.ch/,2,1,1,0,1,+41 22 718 88 99,"Rue du Rhône 118 CP 6448 1211, 6 Geneva, Switzerland"
STANHOPE CAPITAL (SWITZERLAND) SA,https://ch.linkedin.com/in/cynthia-cangucu-59117458,www.stanhopecapital.com,http://www.stanhopecapital.com/,43,4,39,12,13,+41 22 839 32 00,"Sq. de l'Académie 5, 1205 Genève, Switzerland"
Sto Bene Partners SA,False,stobenepartners.com,https://stobenepartners.com/,1,0,1,0,0,+41 22 818 01 18,"Av. de Miremont 16, 1206 Genève, Switzerland"
STRATEGIE FINANCE SA,False,www.strategie-finance.ch,http://www.strategie-finance.ch/,False,False,False,False,False,+41 22 839 44 50,"Rue du Mont-de-Sion 6, 1206 Genève, Switzerland"
Swiss Bridge Capital SA,False,swissbridgecapital.com,https://swissbridgecapital.com/,False,False,False,False,False,+41 22 718 38 00,"Rue du Général-Dufour 11, 1204 Genève, Switzerland"
SWISS CAPITAL IB SA,False,swisscapital-ib.com,https://swisscapital-ib.com/,10,1,9,1,0,+41 22 552 05 07,"Pl. de l'Université 6, 1205 Genève, Switzerland"
Swiss Finance Management International SA,https://www.linkedin.com/company/swiss-finance-management/,www.swissfim.com,https://www.swissfim.com/,11,1,10,1,0,+41 22 707 02 60,"Rue Maurice 3, 1204 Genève, Switzerland"
SwissIndependent Trustees SA,https://linkedin.com/company/swiss-independent-trustees-s-a-,www.swissindependent.com,http://www.swissindependent.com/,5,1,4,2,1,+41 22 718 71 11,"Rue du Prince 9, 1204 Genève, Switzerland"
Synergy Asset Management SA,https://www.linkedin.com/company/synergy-asset-management,www.synergy-wealthgroup.com,https://www.synergy-wealthgroup.com/,2,0,2,2,1,+41 22 346 27 27,"Rue François-Bellot 7, 1206 Genève, Switzerland"
T + M Management Services SA,False,yellow.local.ch,https://yellow.local.ch/d/Pe58WxsDLN8KB8JQkYF_OQ,False,False,False,False,False,+41 22 737 82 00,"Rue Adrien-Lachenal 20, 1207 Genève, Switzerland"
Taranis SA,https://ch.linkedin.com/company/taranis-sa,taranis.net,https://taranis.net/,1,0,1,1,1,+41 22 318 43 90,"Rue du Marché 7, 1204 Genève, Switzerland"
Targa 5 Advisors SA,https://www.linkedin.com/company/targa-5-advisors-sa,www.targa5.com,http://www.targa5.com/,False,False,False,False,False,+41 22 732 50 50,"Grand-Rue 23, 1204 Genève, Switzerland"
Thriving Finance SA,https://www.linkedin.com/company/thriving-finance-sa,www.thrivingfinance.ch,http://www.thrivingfinance.ch/,False,False,False,False,False,+41 22 316 03 90,"Rue du Rhône 100, 1204 Genève, Switzerland"
Trajectoire Capital Group SA,https://www.linkedin.com/company/trajectoire-capital-group,www.trajectoirecap.com,http://www.trajectoirecap.com/,14,3,11,3,2,+41 22 716 01 10,"Rue du Port 4, 1204 Genève, Switzerland"
Urban Advisors SA,False,www.urbanadvisors.ch,https://www.urbanadvisors.ch/,False,False,False,False,False,+41 22 566 77 02,"Rue du Mont-Blanc 4, 1201 Genève, Switzerland"
Valoram SA,False,valoram.ch,https://valoram.ch/,False,False,False,False,False,False,False
Valoris Gestion SA,https://ch.linkedin.com/in/valorisgestion,www.valorisgestion.ch,https://www.valorisgestion.ch/,1,1,0,0,0,+41 22 735 08 40,"Rue du Rhône 65, 1204 Genève, Switzerland"
Vision Asset Management SA,https://za.linkedin.com/company/vision-asset-management,www.vision-asset-management.ch,https://www.vision-asset-management.ch/,1,1,0,0,0,+41 22 321 52 55,"Rue du Mont-de-Sion 6, 1206 Genève, Switzerland"
VULCAN ASSETS MANAGEMENT SA,False,www.vulcan-am.ch,http://www.vulcan-am.ch/,False,False,False,False,False,+41 22 320 06 34,"Rte de Malagnou 38A, 1208 Genève, Switzerland"
W.I.S.E. Management SA,False,wisemanagementsa.ch,https://wisemanagementsa.ch/fr/,False,False,False,False,False,+41 22 869 15 15,"Rue Pierre-Fatio 15, 1204 Genève, Switzerland"
WHITE OAK ASSET MANAGEMENT SA,https://www.linkedin.com/company/white-oak-asset-management,www.whiteoakam.com,http://www.whiteoakam.com/,6,1,5,1,3,False,"Rue du Rhône 17, 1204 Genève, Switzerland"
